,Symbol,Sector,Sub Industry,Name,Market Cap,P 2018,P 2019,change,Index
152,EW,Health Care,Health Care Equipment,Edwards Lifesciences,27447099863,153.17,233.29,0.5230789319057256,S&P500
153,EA,Communication Services,Interactive Home Entertainment,Electronic Arts,37890226992,78.91,107.51,0.3624382207578254,S&P500
154,EMR,Industrials,Electrical Components & Equipment,Emerson Electric Company,44040298425,59.75,76.26,0.27631799163179926,S&P500
155,ETR,Utilities,Electric Utilities,Entergy Corp.,13116894887,86.07,119.8,0.39189032183106787,S&P500
156,EOG,Energy,Oil & Gas Exploration & Production,EOG Resources,61164030149,87.21,83.76,-0.0395596835225317,S&P500
157,EFX,Industrials,Research & Consulting Services,Equifax Inc.,14121334618,93.13,140.12,0.5045635133684099,S&P500
158,EQIX,Real Estate,Specialized REITs,Equinix,33333813618,352.56,583.7,0.655604719764012,S&P500
159,EQR,Real Estate,Residential REITs,Equity Residential,20925508143,66.01,80.92,0.2258748674443265,S&P500
160,ESS,Real Estate,Residential REITs,"Essex Property Trust, Inc.",14383525286,245.21,300.86,0.22694833000285475,S&P500
161,EL,Consumer Staples,Personal Products,Estee Lauder Cos.,49543264457,130.1,206.54,0.5875480399692545,S&P500
162,ES,Utilities,Multi-Utilities,Eversource Energy,18027633617,65.04,85.07,0.3079643296432961,S&P500
163,RE,Financials,Reinsurance,Everest Re Group Ltd.,10131892523,217.76,276.84,0.27130786186627476,S&P500
164,EXC,Utilities,Multi-Utilities,Exelon Corp.,34734816899,45.1,45.59,0.010864745011086585,S&P500
165,EXPE,Consumer Discretionary,Internet & Direct Marketing Retail,Expedia Inc.,19722178609,112.65,108.14,-0.040035508211273885,S&P500
166,EXPD,Industrials,Air Freight & Logistics,Expeditors International,11040678071,68.09,78.02,0.14583639300925233,S&P500
167,EXR,Real Estate,Specialized REITs,Extra Space Storage,10133547517,90.48,105.62,0.16732979664014147,S&P500
168,XOM,Energy,Integrated Oil & Gas,Exxon Mobil Corp.,326148660000,68.19,69.78,0.023317201935767695,S&P500
169,FFIV,Information Technology,Communications Equipment,F5 Networks,8744185796,162.03,139.65,-0.13812256989446392,S&P500
170,FB,Communication Services,Interactive Media & Services,"Facebook, Inc.",523423036576,131.09,205.25,0.565718208864139,S&P500
171,FAST,Industrials,Building Products,Fastenal Co,15311373377,26.15,36.95,0.4130019120458892,S&P500
172,FRT,Real Estate,Retail REITs,Federal Realty Investment Trust,8077368506,118.04,128.73,0.09056252117926111,S&P500
173,FDX,Industrials,Air Freight & Logistics,FedEx Corporation,67280478816,161.33,151.21,-0.0627285687720821,S&P500
174,FIS,Information Technology,Data Processing & Outsourced Services,Fidelity National Information Services,32308459680,102.55,139.09,0.35631399317406154,S&P500
175,FITB,Financials,Regional Banks,Fifth Third Bancorp,22437653700,23.53,30.74,0.3064173395665106,S&P500
176,FE,Utilities,Electric Utilities,FirstEnergy Corp,13706075072,37.55,48.6,0.2942743009320907,S&P500
177,FISV,Information Technology,Data Processing & Outsourced Services,Fiserv Inc,26918949723,73.49,115.63,0.5734113484827867,S&P500
178,FLIR,Information Technology,Electronic Equipment & Instruments,FLIR Systems,6706992926,43.54,52.07,0.19591180523656404,S&P500
179,FLS,Industrials,Industrial Machinery,Flowserve Corporation,5427884956,38.02,49.77,0.3090478695423462,S&P500
180,FMC,Materials,Fertilizers & Agricultural Chemicals,FMC Corporation,11273961835,64.15,99.82,0.556040530007794,S&P500
181,F,Consumer Discretionary,Automobile Manufacturers,Ford Motor,42414328338,7.65,9.3,0.21568627450980404,S&P500
182,FTV,Industrials,Industrial Machinery,Fortive Corp,24916503061,67.66,76.39,0.12902749039314232,S&P500
183,FBHS,Industrials,Building Products,Fortune Brands Home & Security,9624169008,37.99,65.34,0.7199262963937878,S&P500
184,FOXA,Communication Services,Movies & Entertainment,Twenty-First Century Fox Class A,44027094922,0.0,37.07,inf,S&P500
185,FOX,Communication Services,Movies & Entertainment,Twenty-First Century Fox Class B,66135313503,0.0,36.4,inf,S&P500
186,BEN,Financials,Asset Management & Custody Banks,Franklin Resources,21759187973,29.66,25.98,-0.1240728253540121,S&P500
187,FCX,Materials,Copper,Freeport-McMoRan Inc.,25853969330,10.31,13.12,0.2725509214354993,S&P500
188,GPS,Consumer Discretionary,Apparel Retail,Gap Inc.,12684517721,25.76,17.68,-0.313664596273292,S&P500
189,GRMN,Consumer Discretionary,Consumer Electronics,Garmin Ltd.,11840331607,63.32,97.56,0.5407454200884396,S&P500
190,IT,Information Technology,IT Consulting & Other Services,Gartner Inc,10828314389,127.84,154.1,0.2054130162703378,S&P500
191,GD,Industrials,Aerospace & Defense,General Dynamics,64180390701,157.21,176.35,0.12174798040837098,S&P500
192,GE,Industrials,Industrial Conglomerates,General Electric,132249296250,7.28,11.16,0.5329670329670328,S&P500
193,GIS,Consumer Staples,Packaged Foods & Meats,General Mills,31098243069,38.94,53.56,0.37544940934771454,S&P500
194,GM,Consumer Discretionary,Automobile Manufacturers,General Motors,61536606173,33.45,36.6,0.094170403587444,S&P500
195,GPC,Consumer Discretionary,Specialty Stores,Genuine Parts,14554321748,96.02,106.23,0.10633201416371607,S&P500
196,GILD,Health Care,Biotechnology,Gilead Sciences,108106822109,62.55,64.98,0.03884892086330938,S&P500
197,GPN,Information Technology,Data Processing & Outsourced Services,Global Payments Inc.,16920023264,103.13,182.56,0.7701929603413169,S&P500
198,GS,Financials,Investment Banking & Brokerage,Goldman Sachs Group,96978500251,167.05,229.93,0.37641424723136785,S&P500
199,GWW,Industrials,Industrial Machinery,Grainger (W.W.) Inc.,14639308205,282.36,338.52,0.19889502762430933,S&P500
200,HRB,Consumer Discretionary,Specialized Consumer Services,Block H&R,5381433872,25.37,23.48,-0.0744974379188017,S&P500
201,HAL,Energy,Oil & Gas Equipment & Services,Halliburton Co.,43356557470,26.58,24.47,-0.0793829947328818,S&P500
202,HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Hanesbrands Inc,8006268615,12.53,14.85,0.1851556264964087,S&P500
203,HOG,Consumer Discretionary,Motorcycle Manufacturers,Harley-Davidson,8158949890,34.12,37.19,0.08997655334114896,S&P500
204,HIG,Financials,Property & Casualty Insurance,Hartford Financial Svc.Gp.,19926305632,44.45,60.77,0.36715410573678287,S&P500
205,HAS,Consumer Discretionary,Leisure Products,Hasbro Inc.,12732072001,81.25,105.61,0.2998153846153846,S&P500
206,HCA,Health Care,Health Care Facilities,HCA Holdings,34449052800,124.45,147.81,0.18770590598633996,S&P500
207,HP,Energy,Oil & Gas Drilling,Helmerich & Payne,7345243806,47.94,45.43,-0.05235711305798907,S&P500
208,HSIC,Health Care,Health Care Distributors,Henry Schein,11452961984,61.58,66.72,0.08346865865540765,S&P500
209,HSY,Consumer Staples,Packaged Foods & Meats,The Hershey Company,20867272020,107.18,146.98,0.3713379361821234,S&P500
210,HES,Energy,Integrated Oil & Gas,Hess Corporation,14016129999,40.5,66.81,0.6496296296296298,S&P500
211,HPE,Information Technology,"Technology Hardware, Storage & Peripherals",Hewlett Packard Enterprise,24800859640,13.21,15.86,0.20060560181680542,S&P500
212,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Hilton Worldwide Holdings Inc,26242415796,71.8,110.91,0.544707520891365,S&P500
213,HOLX,Health Care,Health Care Equipment,Hologic,11181493750,41.1,52.21,0.2703163017031629,S&P500
214,HD,Consumer Discretionary,Home Improvement Retail,Home Depot,223378633329,171.82,218.38,0.270981259457572,S&P500
215,HON,Industrials,Industrial Conglomerates,Honeywell Int'l Inc.,114422168609,132.12,177.0,0.3396911898274295,S&P500
216,HRL,Consumer Staples,Packaged Foods & Meats,Hormel Foods Corp.,17338613096,42.68,45.11,0.056935332708528685,S&P500
217,HST,Real Estate,Hotel & Resort REITs,Host Hotels & Resorts,14394715334,16.67,18.55,0.11277744451109761,S&P500
218,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",HP Inc.,34895294088,20.46,20.55,0.004398826979472137,S&P500
219,HUM,Health Care,Managed Health Care,Humana Inc.,36973617235,286.48,366.52,0.279391231499581,S&P500
220,HBAN,Financials,Regional Banks,Huntington Bancshares,16766497291,11.92,15.08,0.2651006711409396,S&P500
221,HII,Industrials,Aerospace & Defense,Huntington Ingalls Industries,10628247899,190.31,250.88,0.3182701907414218,S&P500
222,IDXX,Health Care,Health Care Equipment,IDEXX Laboratories,15422885020,186.02,261.13,0.4037737877647565,S&P500
223,INFO,Industrials,Research & Consulting Services,IHS Markit Ltd.,17969275816,47.97,75.35,0.5707734000416926,S&P500
224,ITW,Industrials,Industrial Machinery,Illinois Tool Works,55994378108,126.69,179.63,0.41787039229615597,S&P500
225,ILMN,Health Care,Life Sciences Tools & Services,Illumina Inc,32295200000,299.93,331.74,0.10605808021871765,S&P500
226,IR,Industrials,Industrial Machinery,Ingersoll-Rand PLC,22785450609,91.23,132.92,0.45697687164309975,S&P500
227,INTC,Information Technology,Semiconductors,Intel Corp.,211536000000,46.93,59.85,0.2753036437246963,S&P500
228,ICE,Financials,Financial Exchanges & Data,Intercontinental Exchange,41373051167,75.33,92.55,0.2285941855834328,S&P500
